Original u	Witness	Lower u	Upper u
0.7504001145	0.5557258933 - 0.2427945913*E1 + 0.5360215285*E1^2 - 0.1302814839*E1^3 + 0.0624997764*E2 - 1.1226716812*E1*E2 + 0.3722253581*E2^2 - 0.7478384119*E3 - 0.4105427229*E1*E3 + 0.0611173173*E2*E3 + 0.0983124095*E3^2 + Piecewise[{{-1.0058430483 - 7.9701882618*E1, E1 == -0.1262006637 || E1 < -0.1262006637}, {1.357729062 + 10.7584938341*E1, E1 >= -0.1262006637}}, 0.5815697824 + 4.6082941678*E1]	0.7503999987	0.7504002416
0.7504001803	0.5041569913 - 0.8510755509*E1 - 1.0414450096*E1^2 - 0.0955776959*E1^3 - 0.2526465976*E2 - 3.6198632229*E1*E2 + 0.37222801*E2^2 - 0.5404241467*E3 + 1.2330113215*E1*E3 + 0.0611178114*E2*E3 + 0.0983126951*E3^2 + Piecewise[{{2.1204766812 + 16.8023946867*E1, E1 >= -0.1262008613}}, -0.9295023683 - 7.3652616855*E1]	0.7504001145	0.7504003508
0.7504002661	0.2410330052 + 0.1670236845*E1 + 0.5302642327*E1^2 - 0.1196802495*E1^3 + 0.1029948856*E2 + 0.1945744362*E1*E2 + 0.1429956136*E2^2 - 0.3366394829*E3 - 0.548742129*E1*E3 + 0.0234791301*E2*E3 + 0.0377677298*E3^2 + Piecewise[{{0.7370609627 + 5.8403678972*E1, E1 > -0.1262011188}}, -0.4997575829 - 3.9600091328*E1]	0.7504001803	0.7504003637
0.7504002894	0.3086811188 - 17.6548462387*E1 - 19.7761451617*E1^2 - 0.1341471655*E1^3 - 4.1045806883*E2 - 38.4401743444*E1*E2 + 1.3937871473*E2^2 + 0.1923345745*E3 + 22.1679447359*E1*E3 + 0.2431948481*E2*E3 + 0.3738729435*E3^2 + Piecewise[{{-18.7994787292 - 148.9643553786*E1, E1 < -0.1262011887}, {18.6927845301 + 148.118925949*E1, E1 >= -0.1262011887}}, -12.4879359056 - 98.9526012393*E1]	0.7504002661	0.7504003163
0.7504003946	0.5347874322 - 0.3120828136*E1 + 1.2992060936*E1^2 - 0.1564074828*E1^3 + 0.3131370193*E2 + 0.86329118*E1*E2 + 0.3722366425*E2^2 - 0.8591229023*E3 - 1.2922189803*E1*E3 + 0.0611194196*E2*E3 + 0.098313625*E3^2 + Piecewise[{{-1.1190738704 - 8.8673575983*E1, E1 < -0.1262015046}}, 1.7108727661 + 13.5566748748*E1]	0.7504002894	0.7504005016
0.7504004682	0.6673895057 + 0.8349428403*E1 + 2.0715695324*E1^2 - 0.0851029848*E1^3 + 0.4337839304*E2 + 1.819260389*E1*E2 + 0.3722396074*E2^2 - 0.9190078153*E3 - 1.7667023041*E1*E3 + 0.061119972*E2*E3 + 0.0983139443*E3^2 + Piecewise[{{2.2961614539 + 18.1943744814*E1, E1 >= -0.1262017255}, {-1.6957842273 - 13.4370922476*E1, E1 < -0.1262017255}}, -1.2325396767 - 9.7664249187*E1]	0.7504003946	0.7504005471
0.7504005757	0.1456283546 - 0.3716336511*E1 + 0.6972460928*E1^2 - 0.159949348*E1^3 + 0.0822298359*E2 + 0.0971317084*E1*E2 + 0.1275584786*E2^2 - 0.3211333063*E3 - 0.6546154576*E1*E3 + 0.0209445279*E2*E3 + 0.0336898345*E3^2 + Piecewise[{{-0.3713603572 - 2.9425858197*E1, E1 < -0.1262020481}, {0.6553421959 + 5.192801588*E1, E1 >= -0.1262020481}}, 0.3824901611 + 3.0307761782*E1]	0.7504004682	0.750400675
0.7504006656	0.6089991474 + 0.0763647923*E1 - 0.2800303972*E1^2 - 0.1447613603*E1^3 - 0.067969227*E2 - 2.1565694835*E1*E2 + 0.3722475574*E2^2 - 0.7142404047*E3 - 0.1440758575*E1*E3 + 0.0611214531*E2*E3 + 0.0983148006*E3^2 + Piecewise[{{-1.1372019143 - 9.0109431696*E1, E1 < -0.1262023179}, {1.7553065431 + 13.9086711924*E1, E1 >= -0.1262023179}}, 0.8908252354 + 7.0587074024*E1]	0.7504005757	0.7504008022
0.7504007889	0.5719866569 - 0.1872886604*E1 - 0.0674171642*E1^2 - 0.3231184047*E1^3 + 0.0165712289*E2 - 1.4867080658*E1*E2 + 0.3722525237*E2^2 - 0.869285976*E3 - 1.3725662963*E1*E3 + 0.0611223783*E2*E3 + 0.0983153355*E3^2 + Piecewise[{{0., E1 == -0.1262026879}, {-1.4155820547 - 11.216734587*E1, E1 < -0.1262026879}, {1.5038828324 + 11.9164088901*E1, E1 >= -0.1262026879}}, -0.3251588782 - 2.5764814008*E1]	0.7504006656	0.7504008874
0.750400951	0.5111503071 - 0.4729131539*E1 + 1.4929418597*E1^2 - 0.2958990432*E1^3 + 0.1655616713*E2 - 0.3061728113*E1*E2 + 0.3722590537*E2^2 - 0.8059009094*E3 - 0.8702447509*E1*E3 + 0.0611235949*E2*E3 + 0.0983160389*E3^2 + Piecewise[{{1.2573328935 + 9.9627675658*E1, E1 >= -0.1262031745}}, -0.8203172398 - 6.4999731044*E1]	0.7504007889	0.7504011045
